Trait,Annot,Celltype,EnrichmentScore,Enrichment_se,Enrichment_p
SCZ,MRs,MG,6.719709985,1.888351287,0.003126144772
SCZ,MRs,OC,13.23340457,1.952428038,4.42E-09
SCZ,MRs,oRG,12.12235104,2.406716133,8.77E-06
SCZ,MRs,vRG,12.18490272,2.66811009,4.66E-05
SCZ,ATAC.MRs,MG,7.830772702,2.81603377,0.017174828
SCZ,ATAC.MRs,OC,15.91920919,2.901510779,7.87E-07
SCZ,ATAC.MRs,oRG,12.85804417,2.568283271,7.01E-06
SCZ,ATAC.MRs,vRG,14.03655389,2.529449874,7.13E-07
SCZ,PLAC,MG,2.171470737,0.2780077709,4.68E-05
SCZ,PLAC,OC,2.777108555,0.3109214327,5.69E-08
SCZ,PLAC,oRG,2.674256847,0.3091011011,1.82E-07
SCZ,PLAC,vRG,2.057182511,0.2907340319,0.0003207962667
AD,ATAC,MG,95.17465774,31.29790811,6.75E-05
AD,ATAC,OC,-7.386591697,12.33208956,0.4994878035
AD,ATAC,oRG,1.11670812,10.99346153,0.9921034475
AD,ATAC,vRG,-2.888907923,10.01591188,0.7076836105
AD,MRs,MG,97.38073583,32.15290727,0.0001354254512
AD,MRs,OC,0.2114062146,13.04443463,0.9551958676
AD,MRs,oRG,14.74735102,10.69874472,0.1826494466
AD,MRs,vRG,0.3783479273,6.621659442,0.9261447319
AD,ATAC.MRs,MG,147.8748596,48.0248364,3.23E-05
AD,ATAC.MRs,OC,0.6294756884,16.7752418,0.9836343936
AD,ATAC.MRs,oRG,5.437202939,15.69446346,0.7955399703
AD,ATAC.MRs,vRG,-0.8285957797,13.9697771,0.9012019297
AD,PLAC,MG,14.8353113,4.099737276,1.76E-05
AD,PLAC,OC,2.044959808,1.269660563,0.4519280397
AD,PLAC,oRG,3.989708352,1.224463593,0.01002816103
AD,PLAC,vRG,5.008911018,1.39261326,0.001433538349
PD,ATAC,MG,26.21574475,26.12833508,0.3433672786
PD,ATAC,OC,25.77048267,18.17546881,0.06116618752
PD,ATAC,oRG,2.623577162,23.46649133,0.918865208
PD,ATAC,vRG,5.689701997,19.80710941,0.7419355739
PD,MRs,MG,34.30741521,53.64598535,0.457205082
PD,MRs,OC,14.95593,15.43665913,0.271603126
PD,MRs,oRG,7.375942983,11.7893839,0.6046005943
PD,MRs,vRG,5.206261446,13.3876043,0.6989269389
PD,ATAC.MRs,MG,65.59752678,53.40195419,0.2771717472
PD,ATAC.MRs,OC,45.01812454,31.651883,0.05373481068
PD,ATAC.MRs,oRG,7.168459669,39.79766704,0.806988141
PD,ATAC.MRs,vRG,2.307791006,22.55309621,0.9481108169
PD,PLAC,MG,7.241024257,4.280277814,0.231668458
PD,PLAC,OC,5.141302862,1.915460071,0.1006618179
PD,PLAC,oRG,4.413086035,2.769378334,0.3052815616
PD,PLAC,vRG,4.728952417,4.096876434,0.1063856531
